Spectral_Type,Object_Name,Source_Designation,SpeX_Classification,Wavelength_um,Normalized_Flux,Telluric_Region,Normalization_Region
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.08567,0.8785091801556805,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.08977,0.8892310612166371,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.09388,0.9448995668609639,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.098,0.9537781371381625,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.10214,0.9379319040958418,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.10627,0.9329791438094397,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.11042,0.9297552998434876,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.11458,0.9295317106652037,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.11874,0.9130329092071944,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.12291,0.9173435005745721,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.12709,0.9295590093439476,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.13128,0.9239887789430992,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.13547,0.9186135391047073,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.13967,0.9131525034188345,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.14388,0.9150140133217551,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.14809,0.9011891824435697,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.15231,0.9411479484392956,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.15654,0.9808779255084055,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.16077,0.9882888668188459,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.165,0.977043111113422,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.16925,0.9565028052642252,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.17349,0.9059235533000203,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.17775,0.8917113411710873,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.182,0.8656164041660384,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.18627,0.8590296229662484,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.19053,0.8622066691972109,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.1948,0.8660570828371907,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.19908,0.8595066998757259,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.20336,0.8278441323439945,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.20764,0.8258695279148489,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.21193,0.8507503236843337,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.21621,0.8875203440153496,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.22051,0.913541184606665,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.2248,0.9298618946842973,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.2291,0.952904579418356,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.2334,0.9671336907293686,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.2377,0.9458524207428362,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.24201,0.9143978431443918,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.24632,0.903240483160615,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.25062,0.8727036611428006,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.25494,0.879416536239646,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.25925,0.9130446086409418,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.26356,0.9401118985841085,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.26788,0.9789839171784086,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.27219,1.006731074216008,False,True
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.27651,0.9932689257839921,False,True
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.28082,1.0335864744146384,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.28514,1.0290106958823193,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.28946,1.0224668126062697,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.29378,1.017464654710712,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.2981,1.019881237748093,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.30241,1.011192458285019,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.30673,1.0227982965624463,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.31105,1.010763479047614,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.31537,1.0088486717242886,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.31968,1.0020617002137098,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.324,1.010595787163901,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.32831,0.9609498900253228,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.33262,0.93529303181726,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.33693,0.862844938304986,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.34124,0.7668341852254351,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.34555,0.70419541694182,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.34986,0.6481330303613304,False,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.35416,0.6387747833004882,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.35847,0.6117256924764841,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.36277,0.5825135063462927,True,False
L0,2MASP J0345432+254023,J03454316+2540233,L0.0,1.36707,0.6153421174415159,True,False
